[2020-04-28 10:48:41]	select * from _jpostads  order by postadid desc limit 0,50 
[2020-04-28 15:19:05]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid where fad.ispublish='0' ORDER BY fad.featureadid desc
[2020-04-28 15:34:17]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid where fad.ispublish='1' and date(fad.enddate)>=date('2020-04-28') ORDER BY fad.featureadid desc
[2020-04-28 15:34:18]	SELECT * FROM _tbl_featured AS fad LEFT JOIN _jpostads AS jad ON fad.adid=jad.postadid where fad.ispublish='1' and date(fad.enddate)>=date('2020-04-28') ORDER BY fad.featureadid desc
[2020-04-28 15:35:18]	select * from _jcategory where categid='5'
[2020-04-28 15:35:18]	select * from _jstatenames where stateid='31'
[2020-04-28 15:35:18]	select * from _jsubcategory where subcateid='0'
[2020-04-28 15:35:18]	select * from _jdistrictnames where distcid='52'
[2020-04-28 15:35:18]	insert into `_tbl_featured` (`adid`,`categoryid`,`categoryname`,`subcategoryid`,`subcategoryname`,`countryid`,`countryname`,`stateid`,`statename`,`districtid`,`districtname`,`duration`,`startdate`,`enddate`,`faamount`,`createdon`) values ('2907','5','Jobs','0','','1','India','31','TamilNadu','52','Chennai','2','2020-04-28 15:35:18','2020-04-30 15:35:18','1000','2020-04-28 15:35:18')
[2020-04-28 15:35:18]	select * from _jstatenames
[2020-04-28 15:35:18]	select * from _jcategory
[2020-04-28 15:37:38]	select * from _jcategory where categid='0'
[2020-04-28 15:37:38]	select * from _jstatenames where stateid='18'
[2020-04-28 15:37:38]	select * from _jstatenames
[2020-04-28 15:37:38]	select * from _jcategory
[2020-04-28 15:38:13]	select * from _jcategory where categid='5'
[2020-04-28 15:38:13]	select * from _jstatenames where stateid='18'
[2020-04-28 15:38:13]	select * from _jsubcategory where subcateid='0'
[2020-04-28 15:38:13]	select * from _jdistrictnames where distcid='0'
[2020-04-28 15:38:13]	insert into `_tbl_featured` (`adid`,`categoryid`,`categoryname`,`subcategoryid`,`subcategoryname`,`countryid`,`countryname`,`stateid`,`statename`,`districtid`,`districtname`,`duration`,`startdate`,`enddate`,`faamount`,`createdon`) values ('2907','5','Jobs','0','','1','India','18','Kerala','0','','2','2020-04-28 15:38:13','2020-04-30 15:38:13','1000','2020-04-28 15:38:13')
[2020-04-28 15:38:13]	select * from _jstatenames
[2020-04-28 15:38:13]	select * from _jcategory
[2020-04-28 19:04:48]	select * from _jstatenames
[2020-04-28 19:04:48]	select * from _jcategory
[2020-04-28 19:05:21]	select * from _jcategory where categid='7'
[2020-04-28 19:05:21]	select * from _jstatenames where stateid='31'
[2020-04-28 19:05:21]	select * from _jsubcategory where subcateid='0'
[2020-04-28 19:05:21]	select * from _jdistrictnames where distcid='0'
[2020-04-28 19:05:21]	insert into `_tbl_featured` (`adid`,`categoryid`,`categoryname`,`subcategoryid`,`subcategoryname`,`countryid`,`countryname`,`stateid`,`statename`,`districtid`,`districtname`,`duration`,`startdate`,`enddate`,`faamount`,`createdon`) values ('2918','7','Education & Learning','0','','1','India','31','TamilNadu','0','','7','2020-04-28 19:05:21','2020-05-05 19:05:21','2000','2020-04-28 19:05:21')
[2020-04-28 19:05:21]	select * from _jstatenames
[2020-04-28 19:05:21]	select * from _jcategory
